Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0603_1608Metric,176.162,-98.9584,180.0,top
C10,10uF,C_0603_1608Metric,177.6476,-96.012,180.0,top
C11,100nF,C_0402_1005Metric,182.0444,-91.4908,180.0,top
C12,22uF,C_0603_1608Metric,181.8002,-97.8408,180.0,top
C13,22uF,C_0603_1608Metric,181.8002,-96.3676,180.0,top
C2,22uF,C_0603_1608Metric,173.1648,-98.9584,0.0,top
C3,100nF,C_0402_1005Metric,196.753,-104.3322,-90.0,top
C6,0.1uF,C_0402_1005Metric,170.5864,-71.346,-90.0,top
C7,10uF,C_1206_3216Metric,168.91,-72.7946,-90.0,top
C8,0.1uF,C_0402_1005Metric,183.0096,-112.8776,0.0,top
C9,0.1uF,C_0402_1005Metric,167.8432,-69.0626,-90.0,top
D1,PWRLED,LED_0603_1608Metric,178.8941,-85.8266,180.0,top
D2,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,194.056,-90.2716,-90.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,164.59,-114.838,0.0,top
J2,Screw_Terminal_01x04,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,163.6776,-97.7716,-90.0,top
J3,Screw_Terminal_01x12,TerminalBlock_MaiXu_MX126-5.0-12P_1x12_P5.00mm,202.0824,-89.3908,90.0,top
J6,Vin,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,191.1204,-117.7036,0.0,top
J9,3V3,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,163.6268,-81.2692,-90.0,top
L1,4.7uH,L_Bourns-SRN8040_8x8.15mm,187.6552,-94.234,0.0,top
R1,5.1K,R_0402_1005Metric,162.306,-109.982,90.0,top
R2,5.1K,R_0402_1005Metric,166.37,-110.0348,-90.0,top
R3,1K,R_0402_1005Metric,176.4304,-85.8266,180.0,top
R4,10k,R_0402_1005Metric,193.1416,-74.7288,90.0,top
R6,10k,R_0402_1005Metric,174.0936,-84.8868,180.0,top
R7,10k,R_0402_1005Metric,172.4152,-74.5764,90.0,top
R8,10k,R_0402_1005Metric,174.0896,-85.852,180.0,top
S1,500SSP1S2M2QEA,SW_500SSP1S2M2QEA,175.7172,-115.316,-90.0,top
SW1,SW_Push,SW_PUSH_6mm,184.7744,-107.644,-90.0,top
SW2,SW_Push,SW_PUSH_6mm,163.5908,-64.6418,90.0,top
U1,AP63205WU,TSOT-23-6,181.2544,-93.8643,0.0,top
U2,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,182.8676,-77.2524,0.0,top
U3,AP7361C-33E,SOT-223-3_TabPin2,174.3186,-104.158,-90.0,top
U4,SN74AHCT125DR,SOIC127P600X175-14N,192.532,-107.5436,0.0,top
